N_ТРАНСП,ДАТА_НАКЛ,N_ДОГОВ,ГОД_ДОГОВ,КОД_ЖД,ТА_ПРИБ_ЗД,А_ПРИБ_СКЛ,Я_ПРИБ_СКЛ,ДАТА_ВЫГР,ВРЕМЯ_ВЫГР,СМЕНА_ВЫГР,ВЕС_ДОКУМ,ВЕС_СТАН,ПР_ЗАСОР,ПР_ЗАСОР_Р,ВЕС_ФАКТ,ОМ_ПО_НАКЛ,ЛОМ_ФАКТ,ЛОМ_ВЗ,ВЕС_ЛОМА,ПРОЦ_НДС,ЦЕНА_ТОННЫ,СТОИМ,N_АКТА_M7,ДАТА_АКТА,ЗАСОР_ТАРА,СХЕМ_ТАРИФ
55389159,20201220,1,2020,68,20201224,20210101,20,20210101,22,А,"61,35","61,25",3,"3,24","59,267",,5А,5А,"59,267",20,21667,"1284138,09",0000000020,20210101,"0,150",0
52905114,20201220,1,2020,68,20201224,20210101,20,20210101,22,А,"66,1","66,45",2,"2,74","64,631",,5АЭ,5АЭ,"64,631",20,21917,"1416517,63",0000000019,20210101,"0,500",0
52759313,20201221,1,2020,63,20201225,20210101,20,20210101,22,А,"52,27","52,55",3,"3,55","50,682",5А,5А,5А,"50,682",20,20643,"1046228,53",0000000021,20210101,"0,300",0
63852123,20201219,1,2020,24,20201226,20210101,20,20210101,22,А,"64,35","63,2",1,"1,39","62,32",,5А ЖДЛ,5А ЖДЛ,"62,32",20,21368,"1331653,76",0000000028,20210101,"0,250",0
56024722,20201223,1,2020,63,20201227,20210101,15,20210101,17,А,"62,05","62,6",3,"3,46","60,431",5А,5А,5А,"60,431",20,20643,"1247477,13",0000000009,20210101,"0,300",0
62683081,20201223,1,2020,61,20201224,20210101,15,20210101,17,А,"65,6","67,2",1,"1,07","66,478",,5А ЖДЛ,5А ЖДЛ,"66,478",20,23631,"1570941,62",0000000014,20210101,,1
63778575,20201223,1,2020,63,20201227,20210101,15,20210101,17,А,"52,8","53,25",1,"1,09","52,668",,5А ЖДЛ,5А ЖДЛ,"52,668",20,21827,"1149584,44",0000000017,20210101,,0
52266269,20201216,1,2020,24,20201221,20210101,15,20210101,17,Г,"66,6","66,25",1,1,"65,587",,5А ЖДЛ,5А ЖДЛ,"65,587",20,21482,"1408939,93",0000000013,20210101,,0
53472635,20201216,1,2020,24,20201221,20210101,15,20210101,17,Г,65,"65,75",1,"1,15","64,993",,5А ЖДЛ,5А ЖДЛ,"64,993",20,21482,"1396179,63",0000000012,20210101,,0
52922275,20201219,1,2020,63,20201223,20210101,15,20210101,17,А,"63,8","64,15",1,"1,16","63,409",,5А ЖДЛ,5А ЖДЛ,"63,409",20,23631,"1498418,08",0000000011,20210101,,1
63837132,20201217,1,2020,24,20201223,20210101,15,20210101,17,А,"53,9","53,3",1,"1,37","52,569",,5А ЖДЛ,5А ЖДЛ,"52,569",20,23631,"1242258,04",0000000007,20210101,"0,200",1
56411630,20201221,1,2020,63,20201225,20201228,7,20210101,"0,1",В,"52,9","54,55",1,"1,09","53,955",,5А ЖДЛ,5А ЖДЛ,"53,955",20,21911,"1182208,01",0000000002,20210101,,0
52309390,20201221,1,2020,63,20201225,20201228,7,20210101,"0,1",В,"54,9","56,75",1,"1,26","56,034",,5А ЖДЛ,5А ЖДЛ,"56,034",20,21911,"1227760,97",0000000001,20210101,"0,150",0
